"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"logstash-telecom-dhcp-logs-ilm-2021.09.07-000044","77743753","159513","0","0",,,"NOTHING"
"app-write","164906374","0","0","0",,,"NOTHING"
"shrink-xobo-winlogbeat-7.13.1-2021.08.24-000248","65187498702","43625665","0","0",,,"NOTHING"
"filebeat-cluster_elk_prod-2021.08.27-000023","1248","0","0","0",,,"NOTHING"
"shrink-a-da-logstash-telecom-netscaler-syslog-ilm-2021.08.25-000128","54650598173","79944870","0","0",,,"NOTHING"
"shrink-7zue-logstash-telecom-checkpoint-syslog-ilm-2021.08.21-000440","53153761933","40213914","0","0",,,"NOTHING"
"metricbeat-7.13.4-2021.08.01-000002","54330656516","68191229","0","0",,,"NOTHING"
"magento-aws-customer_log-prod-ilm-2021.09.01-000043","670479820","715753","0","0",,,"NOTHING"
"shrink-gzfe-audit-write-000061","54307701584","36406695","0","0",,,"NOTHING"
".kibana-event-log-7.10.0-000010","416","0","0","0",,,"NOTHING"
"shrink-hoo9-logstash-telecom-checkpoint-syslog-ilm-2021.07.28-000404","53643778342","39670296","0","0",,,"NOTHING"
"shrink-i0at-winlogbeat-7.13.1-2021.08.16-000224","64729694939","41896016","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.20","307705","193","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.22","335296","201","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.21","198726","189","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.24","270823","190","0","0",,,"NOTHING"
"prc_audit_log_prod-ilm-2021.07.21-000037","2115521558","3062686","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.23","313061","196","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.26","306438","197","0","0",,,"NOTHING"
"shrink-xmb0-winlogbeat-7.13.1-2021.08.23-000243","65587835787","43524130","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.25","202590","194","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.28","216876","123","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.27","276560","204","0","0",,,"NOTHING"
"app-write-000053","5497993839","3500774","830","0.00121399918852424","1303521.70302053","DELETE_DOCS","NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.29","250059","423","0","0",,,"NOTHING"
"shrink-4v5m-audit-write-000065","54368907214","36455477","0","0",,,"NOTHING"
"logstash-telecom-snmptrap-else-ilm-2021.09.07-000041","1418400","1246","0","0",,,"NOTHING"
"inspire_audit_log_prod-ilm-2021.08.25-000042","836381651","1750425","0","0",,,"NOTHING"
"metricbeat-7.8.0-2021.07.30-000028","416","0","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.11","284666","202","0","0",,,"NOTHING"
"shrink-qwv7-audit-write-000059","54415568096","36415108","0","0",,,"NOTHING"
"shrink-ulun-winlogbeat-7.13.1-2021.08.12-000211","65876633220","42185723","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.10","1528919","3696","0","0",,,"NOTHING"
"logstash-telecom-coreswitch-syslog-2021.08.13","313307","211","0","0",,,"NOTHING"
