"index","total_size","total_docs","doc_toDelete","sizesaving","sizesavingNonConvert","action_needed","action_took"
"auditbeat-7.13.2-2021.08.17-000010","7342498332","5806584","0","0",,,""
"shrink-ruw3-inspire_audit_log_prod-2021.08.06-000040","416","0","0","0",,,""
"dhcp-logs-2021.08.26","93432348","166546","0","0",,,""
"dhcp-logs-2021.08.25","96585214","171248","0","0",,,""
"heartbeat-7.10.0-2021.06.05-000006","416","0","0","0",,,""
"dhcp-logs-2021.08.28","14983226","21552","0","0",,,""
"dhcp-logs-2021.08.27","73328385","130019","0","0",,,""
"dhcp-logs-2021.08.29","14684458","21597","0","0",,,""
"metricbeat-7.13.1-2021.06.22-000003","107115887872","130571315","130571315","0",,,""
"dhcp-logs-2021.08.20","60663848","110836","0","0",,,""
"metricbeat-7.5.0-2021.04.02-000008","416","0","0","0",,,""
"dhcp-logs-2021.08.22","20770659","33116","0","0",,,""
"dhcp-logs-2021.08.21","26133672","42835","0","0",,,""
"filebeat-7.4.0-2021.08.14-000010","416","0","0","0",,,""
"logstash-telecom-dhcp-logs-ilm-2021.08.10-000004","416","0","0","0",,,""
"filebeat-7.8.0-2021.05.21-000030","416","0","0","0",,,""
"nontraite-syslog-2021.06.18","883643","974","974","0",,,""
"magento_integration_0553-2021.08.02","16181908","28838","0","0",,,""
"dhcp-logs-2021.08.13","68386547","127683","0","0",,,""
"magento_integration_0553-2021.08.03","11608495","20751","0","0",,,""
"heartbeat-7.10.0-2021.07.05-000007","416","0","0","0",,,""
"dhcp-logs-2021.08.12","91150210","172148","0","0",,,""
"nontraite-syslog-2021.06.17","2969431","4583","4583","0",,,""
"dhcp-logs-2021.08.15","23519120","38615","0","0",,,""
"nontraite-syslog-2021.06.16","2060590","3227","3227","0",,,""
"magento_integration_0553-2021.08.01","9499337","17915","0","0",,,""
"nontraite-syslog-2021.06.15","2083427","2823","2823","0",,,""
"dhcp-logs-2021.08.14","32335569","57868","0","0",,,""
"dhcp-logs-2021.08.17","91590896","172408","0","0",,,""
"dhcp-logs-2021.08.16","96208565","179998","0","0",,,""
"logstash-network-snmptrap-cacti-test-2021.09.01","808052801","189586","0","0",,,""
"dhcp-logs-2021.08.19","85212874","158581","0","0",,,""
"auditbeat-7.12.0-2021.07.12-000012","2688013759","2234917","0","0",,,""
"auditbeat-7.10.0-2021.02.11-000002","416","0","0","0",,,""
"dhcp-logs-2021.08.18","93464042","175700","0","0",,,""
"logstash-network-snmptrap-cacti-test-2021.09.02","836462085","196491","0","0",,,""
"nontraite-syslog-2021.06.19","2670744","4542","4542","0",,,""
"logstash-network-snmptrap-cacti-test-2021.09.03","906498994","208840","0","0",,,""
"metricbeat-7.10.2-2021.06.19-000044","64486941268","107777815","107777815","0",,,""
"logstash-network-snmptrap-cacti-test-2021.09.04","857283161","199018","0","0",,,""
"metricbeat-7.10.2-2021.06.20-000045","64614623082","108232448","108232448","0",,,""
"logstash-network-snmptrap-cacti-test-2021.09.05","770614341","182353","0","0",,,""
